epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2469.04,1.08252,0.60011,1.1626,0.82777,0.88968,0.92552,0.596,1.37039,0.71106,1.39554,5.22683e-05,5.22683e-05,5.22683e-05
122,2489.32,1.09303,0.60699,1.1659,0.83333,0.86829,0.92946,0.60062,1.37111,0.70718,1.38512,4.92656e-05,4.92656e-05,4.92656e-05
123,2509.61,1.07684,0.59189,1.15708,0.81137,0.8855,0.92603,0.5915,1.3745,0.71879,1.38956,4.6352e-05,4.6352e-05,4.6352e-05
124,2529.88,1.07211,0.59092,1.15951,0.85643,0.84924,0.9263,0.59256,1.37354,0.72353,1.39321,4.35288e-05,4.35288e-05,4.35288e-05
125,2550.05,1.05675,0.59159,1.15214,0.82963,0.8874,0.92821,0.59992,1.3699,0.71346,1.39711,4.07973e-05,4.07973e-05,4.07973e-05
126,2570.35,1.05757,0.59747,1.15116,0.87613,0.82824,0.92674,0.59011,1.36601,0.72851,1.38374,3.81587e-05,3.81587e-05,3.81587e-05
127,2590.65,1.07148,0.58709,1.16589,0.86321,0.85305,0.92667,0.59622,1.36706,0.71104,1.38708,3.56141e-05,3.56141e-05,3.56141e-05
128,2610.82,1.06275,0.59121,1.1517,0.83193,0.86909,0.92853,0.60287,1.36362,0.71448,1.38729,3.31646e-05,3.31646e-05,3.31646e-05
129,2631.08,1.06242,0.58953,1.16061,0.84477,0.87023,0.92816,0.6019,1.36668,0.71031,1.38944,3.08113e-05,3.08113e-05,3.08113e-05
130,2651.46,1.06752,0.58972,1.1659,0.84481,0.86225,0.92697,0.599,1.37043,0.71857,1.38792,2.85553e-05,2.85553e-05,2.85553e-05
131,2671.85,1.05777,0.57983,1.15086,0.82296,0.87824,0.92615,0.59841,1.37258,0.71508,1.39388,2.63975e-05,2.63975e-05,2.63975e-05
132,2692.14,1.06021,0.58758,1.16178,0.85571,0.85496,0.9292,0.60245,1.36975,0.71537,1.38946,2.43389e-05,2.43389e-05,2.43389e-05
133,2712.42,1.0589,0.57845,1.15519,0.84675,0.86464,0.9276,0.6014,1.36634,0.71785,1.38487,2.23803e-05,2.23803e-05,2.23803e-05
